"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","hsa04510","Focal adhesion","127/2774","203/8577",3.99650801698148e-19,1.34682320172276e-16,8.41370108838207e-17,"7424/7057/3675/5154/22801/3082/1956/7058/1292/3690/3910/6696/1291/5156/1277/1293/8515/5155/4233/3918/284217/1311/7450/8516/3676/330/2321/3655/3791/2335/3371/1278/5880/10451/7148/329/3680/7791/1284/3685/5228/3672/7448/4638/87/5649/55742/3915/10398/2318/1282/9564/2012/3913/29780/3693/7059/3678/5293/2534/3912/824/3725/1280/25759/10319/3611/1299/7408/3673/81/2317/83660/7414/3688/5908/10627/6714/3691/3911/399694/6093/6464/3696/71/5159/60/7094/56034/2316/207/54776/5829/5604/23396/5578/2064/998/6655/7410/5058/7423/3480/572/5594/3908/56924/106821730/5501/858/7422/5602/595/857/10000/1950/5923/3914/53358/64098/3674/93408/5582/2324/5579/3479/7409",127
"hsa04010","hsa04010","MAPK signaling pathway","161/2774","301/8577",1.03179234416849e-14,1.27825221897124e-12,7.98533324361229e-13,"7424/2250/7010/5154/3082/4803/1956/5156/627/3554/2069/5801/3310/5155/4233/7042/22808/1435/3553/2246/2321/3791/9064/1436/5880/1943/1844/8605/4254/4791/929/5228/1942/7039/22800/3552/7124/3481/7046/2318/7048/5971/8986/4616/5533/27092/4790/3303/285/3725/4208/5924/3304/55970/5606/4217/785/1847/1846/6300/2317/3315/3305/1946/5908/4772/5600/7132/374/1326/1843/9261/8717/775/4215/1969/408/782/284/5159/2260/56034/5598/2316/207/8569/1848/5921/5604/836/3654/5578/1850/6196/1647/2064/2768/8517/51776/998/51347/6197/5970/1849/784/6237/6655/5058/7423/3480/9693/9020/5594/2668/5623/7867/355/1147/5871/6789/773/5532/7422/5602/51295/409/10000/1950/3925/5923/4775/2264/2066/2353/5607/1944/5321/59283/59285/8912/11184/4914/93589/3556/5582/783/4902/8817/2324/9048/8913/5979/4137/5579/5608/3479/10368/27091/4804/8911/5778",161
"hsa04360","hsa04360","Axon guidance","109/2774","182/8577",1.13790998721475e-14,1.27825221897124e-12,7.98533324361229e-13,"9723/81029/5362/7225/3897/8482/22885/91584/5365/4233/10371/25791/7869/59277/9037/91653/5880/1943/10509/4773/10512/2041/1942/7220/8633/10398/64221/817/8829/7222/5293/2534/57522/5533/5998/3611/151449/6387/55558/8440/2770/5361/3688/1946/80031/10627/10154/6714/84628/2771/6093/1969/54961/658/10505/3984/5921/10500/23654/56288/5578/2043/1073/998/6237/1072/55740/5058/54434/5364/5594/56924/106821730/1020/3983/1808/9423/5532/2242/50855/223117/1949/7223/4775/85464/1947/7474/10507/5727/2044/4756/29984/1944/1630/27289/137970/84612/57556/4917/84448/64101/6585/2049/90249/57689/56896/2045/54437/7852",109
"hsa04512","hsa04512","ECM-receptor interaction","61/2774","89/8577",2.27498332040969e-12,1.91667344744516e-10,1.19735964232089e-10,"7057/960/3675/6382/22801/7058/1292/3690/3910/6696/1291/1277/1293/80144/8515/3918/284217/1311/7450/8516/3676/255743/3655/2335/3371/1278/7148/3680/1284/3339/3685/3672/7448/5649/3915/1282/3913/6385/3693/7059/3678/3912/1280/10319/1299/3673/3688/3691/3911/3696/961/3908/158326/2812/3161/3914/9900/3674/341640/22987/9899",61
"hsa04014","hsa04014","Ras signaling pathway","125/2774","236/8577",2.6064128280825e-11,1.7567222461276e-09,1.09743698024526e-09,"51365/7424/2250/94235/7010/5154/3082/4803/1956/3363/5156/627/2792/2113/5155/4233/22808/1435/11145/2246/2321/3791/1436/5880/283455/1943/9610/8605/7535/5337/4254/5228/1942/7039/22800/3481/5293/22821/4790/285/25759/5924/54331/55970/10156/100271927/5338/2791/1946/5908/27040/9846/9462/399694/27/6464/1969/11186/284/5159/2260/56034/598/207/5921/5899/5604/5578/8517/998/2790/805/5970/6237/6655/5868/5058/7423/3480/382/4301/2787/10681/572/5594/56924/106821730/9771/8831/91860/8844/801/1147/6789/7422/2785/5602/5966/10000/1950/23179/59345/5923/2264/2114/53358/83593/57186/4303/1944/5321/2793/8398/7074/4914/5582/8817/2324/64926/5579/50487/3479/2903/4804/8437",125
"hsa04015","hsa04015","Rap1 signaling pathway","113/2774","210/8577",6.59767064095732e-11,3.70569167667103e-09,2.31497215472187e-09,"7424/54518/2250/9002/114/7010/2533/7057/5154/3082/4803/1956/3690/5156/5155/4233/22808/1435/2246/2321/3791/1436/5880/10451/1943/4254/57568/5228/136/1942/9564/5293/2149/285/112/5606/7408/196883/2770/6300/9863/83660/10411/3688/1946/5908/5600/27040/6714/108/2771/115/1969/71/284/5159/2260/60/7094/56034/207/5332/5899/5604/56288/5578/998/805/6237/7410/5331/6494/55740/7423/3480/9693/23236/4301/113/23094/5216/5594/9223/9771/91860/5217/5587/801/7422/26037/50855/10000/1950/2264/83593/3674/1944/7074/2846/84612/5028/3684/3689/5582/8817/2324/5579/5608/3479/2903/5909/7409/4804",113
"hsa04668","hsa04668","TNF signaling pathway","67/2774","114/8577",4.73374087662982e-09,2.27895810774893e-07,1.42368146665558e-07,"1437/6352/7424/1906/2919/3383/3976/90993/7412/1435/7133/330/3553/6372/6347/7185/3569/2920/9021/7128/329/4323/7124/3600/6376/2921/8986/5293/5743/3659/602/4790/64764/3725/6364/5606/4217/4314/6300/197259/1540/182/3726/5600/7188/7132/10488/1326/8717/8837/207/5604/836/8517/5970/8737/4792/9020/5594/840/355/1147/5602/10000/2353/1051/5608",67
"hsa04151","hsa04151","PI3K-Akt signaling pathway","167/2774","359/8577",7.75585097522718e-09,3.26715222331445e-07,2.04101341453347e-07,"7099/7424/2250/94235/7010/7057/3675/5154/22801/3082/4803/1956/7058/1292/3690/90993/3910/6696/1291/5156/627/2069/2792/1277/1293/8515/5155/4233/5618/3918/1435/284217/1311/3575/7450/8516/3676/2246/2321/3655/3791/2335/3371/3569/1436/1278/3570/1943/7148/3680/117145/1284/4254/3685/5228/3672/3566/7448/5523/1026/1942/7039/5649/5617/3481/3915/1282/3913/3693/7059/7097/3678/5293/2149/3912/9180/3574/2690/4790/64764/285/1280/10319/54331/1299/55970/3673/1128/9863/2791/3688/1946/1021/7184/3691/10488/3911/5526/374/7534/3696/1969/284/5159/2260/56034/598/207/5585/5604/5578/29941/2064/8517/5516/2790/5970/6655/7533/5525/23678/7423/3480/4846/2787/10681/572/5594/5934/9223/3908/5520/2668/5623/4193/23035/1975/1147/672/4602/7422/2785/1027/595/10000/1950/59345/3914/2264/2066/3674/1944/2793/5294/2846/4914/2057/4902/8817/2324/9048/5979/3479/4804/1129/9623/930",167
"hsa05205","hsa05205","Proteoglycans in cancer","105/2774","205/8577",1.16109571653479e-08,4.34765840524695e-07,2.71601337201121e-07,"7476/7099/7477/7057/81029/960/6382/3082/1956/3690/5328/1277/4233/7483/7042/1839/22808/3316/2817/286/4313/3791/1514/2335/7475/1278/5329/10451/3339/3685/7448/1026/22800/7124/3481/4060/2318/6385/817/3693/7097/3678/5293/2719/967/7855/6383/3673/6300/2317/3688/2017/5600/6714/6093/3709/71/7473/8323/2260/60/287/80326/6774/2316/207/3091/54776/5829/5604/836/5578/2535/8326/2064/8826/998/27250/6237/6655/7410/8324/5058/3480/5594/84309/5501/4193/858/355/1975/7422/7023/595/857/10000/7474/2066/5727/8321/7074/5582/5579/3479/7409",105
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","77/2774","139/8577",1.37365307046505e-08,4.62921084746723e-07,2.89190120097906e-07,"2938/1906/5154/3383/6382/3690/5327/3554/5155/7412/3553/445/2817/6347/4313/3791/1514/4688/5880/3162/3685/3552/7124/6385/1728/5293/4790/3725/6383/4208/4217/6300/5600/7184/7132/6714/10365/4257/1843/71/60/1535/7295/8878/5598/207/658/90/6612/4258/8517/805/4205/5970/9446/4846/657/858/91860/92/801/1147/2947/7422/5602/857/10000/2941/2353/2944/2949/3674/5607/93/2946/2948/5608",77
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","59/2774","100/8577",3.22378389890224e-08,9.87650158118233e-07,6.16992133761195e-07,"7424/185/1906/3576/5054/3383/1277/7042/183/7412/1281/3553/6347/4313/2335/3569/1278/5580/6776/1284/2152/4088/3552/7124/7046/7048/1282/5292/5293/4790/3725/5581/5333/6300/2308/4772/5600/6777/113026/6774/207/5332/836/5578/998/5970/5331/7423/23236/4846/5594/177/7422/5602/1027/595/10000/1958/5579",59
"hsa05165","hsa05165","Human papillomavirus infection","151/2774","331/8577",1.91912392879219e-07,5.03462738719432e-06,3.14516781958102e-06,"7476/7477/4242/388585/7057/81029/3675/22801/1956/7058/1292/3690/90993/3910/6696/1291/1277/1293/8515/7483/3918/284217/1311/7450/8516/3676/3655/2335/4600/3371/7475/1278/3106/7148/3680/4599/1284/3685/3672/7448/5523/1026/5649/7124/3915/10312/1282/3913/3693/7059/3678/5293/3912/5743/84441/3107/3659/4790/64764/1280/7855/10379/10319/23462/1299/148022/26508/83439/3673/10297/245972/6932/2308/3688/182/1021/57801/7132/3691/3135/10488/3911/5526/3134/8717/8638/3696/7473/3133/9641/5159/8323/3105/80326/6773/207/245973/5829/4853/6934/4854/5604/836/56288/5986/1855/2535/8326/8517/5516/998/9114/5970/6655/8324/5525/51382/9368/5663/578/572/5594/5934/9223/3908/5520/1741/4193/355/1147/3280/7422/1027/595/50855/1869/10000/1950/155066/3914/55502/7474/890/84667/8313/64398/3674/8321/84612/1740/7015",151
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","47/2774","77/8577",1.94214112859128e-07,5.03462738719432e-06,3.14516781958102e-06,"3675/22801/3690/8515/1832/284217/8516/3676/1674/3655/1000/3680/3685/3672/1756/3693/3678/4000/27092/785/83439/3673/6932/3688/3691/775/3696/782/1495/71/6443/60/6934/784/3908/51176/3674/59283/59285/6543/93589/783/88/6262/5318/10368/27091",47
"hsa05414","hsa05414","Dilated cardiomyopathy","54/2774","96/8577",1.03963574326437e-06,2.2858786681323e-05,1.42800479033722e-05,"114/3675/22801/3690/70/7168/8515/7042/183/284217/8516/3676/1674/3655/3680/3685/3672/7124/1756/3693/3678/4000/27092/112/785/3673/7171/196883/3688/7169/108/3691/115/775/3696/782/71/6443/60/784/113/3908/3674/59283/59285/6543/153/93589/783/6262/3479/10368/7137/27091",54
"hsa04020","hsa04020","Calcium signaling pathway","118/2774","253/8577",1.07602002746275e-06,2.2858786681323e-05,1.42800479033722e-05,"154/6869/7424/185/2250/114/5154/3082/4803/1956/2925/1910/3363/5731/3274/5156/8877/5155/4233/623/2246/2321/844/5021/3791/3269/5137/55283/5027/4773/9127/136/4638/5737/7039/624/817/444/5026/2149/5533/493/5333/53373/196883/1128/6915/490/5025/4772/108/4923/93129/115/3709/775/113026/5159/2260/56034/5332/6786/5578/90550/1909/2064/805/5331/80271/7423/23236/116444/4846/401152/113/56848/2668/91860/57118/801/10345/773/5532/7422/1950/4775/9630/2264/3706/2066/5023/1139/148/5733/6543/2769/886/8912/4914/153/5582/5153/8817/845/2324/10800/8913/6262/5979/5579/155/57172/5136/4842/2903/1129/8911/7852",118
"hsa05163","hsa05163","Human cytomegalovirus infection","107/2774","225/8577",1.08528364065629e-06,2.2858786681323e-05,1.42800479033722e-05,"6352/94235/114/3576/1956/3690/90993/5731/5156/3554/2792/5732/3553/6347/3569/3570/5880/3106/4773/3685/1026/7124/9564/6376/5293/5743/3107/6890/5533/4790/64764/112/54331/55970/6387/196883/2770/6300/2791/340061/1021/4772/5600/7188/7132/6714/108/3135/10488/2771/115/3134/6093/3709/6891/8717/2923/3133/115004/3105/6774/207/811/5332/5829/6892/5604/836/5578/2768/8517/2790/805/5970/11214/6655/3588/5331/8737/23236/113/2787/10681/578/4792/5594/6667/4193/91860/355/801/1147/5532/7422/2785/595/1869/10000/59345/4775/2793/5733/1870/5582/5579/5608/7852",107
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","51/2774","90/8577",1.52793793353249e-06,2.98584010301152e-05,1.86527571639014e-05,"1906/3675/22801/3690/70/7168/8515/7042/183/284217/8516/3676/1674/3655/3569/3680/3685/3672/7124/1756/3693/3678/4000/27092/785/3673/7171/3688/7169/3691/1636/775/3696/782/71/6443/60/784/51422/3908/3674/59283/59285/6543/93589/783/6262/3479/10368/7137/27091",51
"hsa04810","hsa04810","Regulation of actin cytoskeleton","108/2774","229/8577",1.59481073751357e-06,2.98584010301152e-05,1.86527571639014e-05,"2250/3675/5154/22801/1956/3690/5156/8515/5155/623/22808/8516/3676/2246/3655/2335/5880/10451/2934/3680/1132/3685/10095/3672/4638/87/22800/624/735/10398/9564/3645/3693/3678/5293/2149/4627/55970/3673/6387/10297/7114/1128/81/7414/3688/10627/6714/3691/5305/4629/6093/3696/71/5159/2260/60/54961/56034/10109/207/3984/54776/5829/5604/10096/23396/1073/2768/8826/998/6237/6655/7410/1072/55740/5058/54434/5216/5594/9459/56924/106821730/5501/5217/4628/26999/727/10000/1950/85464/2264/221178/3674/8936/93408/7074/2846/3684/3689/3071/8817/7409/1129/729/7852/730/732",108
"hsa04926","hsa04926","Relaxin signaling pathway","67/2774","129/8577",2.73833494991068e-06,4.85694146378894e-05,3.03416614948552e-05,"7424/94235/114/1906/1956/1910/90993/2792/1277/1281/4313/1278/1284/7046/4322/7048/1282/5293/4790/64764/3725/112/4312/25759/54331/55970/196883/2770/6300/2791/59/5600/6714/108/10488/2771/115/399694/6464/408/207/5332/5604/5578/2790/5970/6655/5331/7423/23236/4846/113/2787/10681/4792/5594/7422/2785/5602/409/10000/59345/53358/2353/2793/2769/4842",67
"hsa05133","hsa05133","Pertussis","44/2774","76/8577",3.6482959118904e-06,5.92886348810234e-05,3.70380352216295e-05,"7099/3576/3592/721/720/3553/6372/3569/716/929/3552/7124/3678/3659/4790/3725/353376/148022/2770/6300/715/3688/718/5600/10392/2771/710/836/3654/114609/1073/805/5970/1072/5594/23643/840/91860/801/5602/727/2353/3684/3689",44
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","57/2774","106/8577",3.69454401335754e-06,5.92886348810234e-05,3.70380352216295e-05,"114/1956/90993/1839/5337/5744/4324/1026/4323/5745/4322/5143/64764/112/7421/4208/860/196883/2770/5338/4326/10893/108/10488/2771/115/3709/408/2260/4209/4929/5332/5604/5578/4325/2768/4205/11214/5331/9368/23236/113/5594/6667/4040/9935/409/2625/2353/9365/1958/632/5582/5141/10568/5579/6258",57
"hsa04064","hsa04064","NF-kappa B signaling pathway","56/2774","104/8577",4.24565091718446e-06,6.50356526859619e-05,4.06282384419565e-05,"7099/3929/3576/2919/3383/29775/5328/3554/7412/330/3553/7185/2920/7128/329/7535/4791/929/7124/5971/2921/5743/4055/4616/4790/353376/148022/6387/1540/23586/4067/8792/27040/7188/7132/8915/8717/8837/598/3654/114609/1647/8517/5970/8737/4792/9020/23643/55367/1147/142/115650/1896/84433/10673/5579",56
"hsa05146","hsa05146","Amoebiasis","55/2774","102/8577",4.87807775240117e-06,7.14744435895302e-05,4.46505972759832e-05,"1437/7099/3576/2919/3910/3554/1277/3592/7042/3918/1281/284217/3553/2335/3569/1278/2920/1284/929/87/7124/3915/735/1282/3913/5269/2921/7097/5293/3912/5273/4790/10319/81/7414/3315/3911/5332/836/5578/5970/5868/5331/23236/3908/384/9630/3914/2769/3684/3689/5582/912/5579/732",55
"hsa04514","hsa04514","Cell adhesion molecules","77/2774","158/8577",1.14726917475105e-05,0.00016109571328796,0.000100637646907987,"947/4099/84631/57863/3383/6382/933/3897/29126/5010/137075/80380/1364/64115/7412/8516/3676/9369/3655/23308/102723996/1462/1000/3106/3680/1013/8506/3685/4897/9379/6385/23114/5817/3107/5133/80381/58494/6383/214/6404/965/3688/5818/9672/3385/84628/3135/9019/3134/3696/3133/3105/9069/83692/4267/4684/57502/26050/2734/22829/10666/23705/4685/3113/54413/4756/5788/22865/3684/3689/64101/84189/94030/57689/3115/3109/26047",77
"hsa04371","hsa04371","Apelin signaling pathway","69/2774","139/8577",1.48741707922443e-05,0.000200503822279453,0.000125256175092583,"185/10891/94235/114/5054/5327/6696/2792/8877/22808/1490/8862/4638/4088/22800/7046/112/5581/4208/54331/55970/196883/2770/2791/59/182/108/2771/10365/115/3709/4209/207/81631/5332/84557/4854/5604/643246/2790/805/4205/6237/5331/23236/4846/51422/113/2787/10681/5594/56848/91860/4899/801/2785/7019/595/3991/10000/59345/5140/2793/1958/5294/6543/6262/4842/100506013",69
"hsa04724","hsa04724","Glutamatergic synapse","59/2774","115/8577",1.73249885161005e-05,0.000224558504997149,0.000140283307822676,"94235/114/2792/2900/8605/5337/7220/2914/9454/5533/112/54331/6505/55970/196883/2770/5338/2791/108/2771/115/3709/775/9455/2744/5332/5578/2790/85358/5331/23236/116444/113/2787/10681/5594/2752/9456/773/5532/2785/157/156/59345/1742/5321/2793/2901/2898/2897/5582/9229/2899/57030/6507/2912/5579/2903/50944",59
"hsa04218","hsa04218","Cellular senescence","75/2774","156/8577",2.69909845934636e-05,0.000336887474370268,0.000210456020221939,"3486/3576/5054/2113/7042/22808/3569/3106/4773/10758/1026/4088/22800/3552/7046/7048/678/5293/3107/4616/5533/824/4790/823/5606/6300/2308/1021/4772/5600/28996/3135/3134/9261/3709/3133/3105/8878/207/55957/5604/90550/1647/805/5970/677/6237/5594/5934/993/5501/4193/91860/983/801/5928/204851/286826/891/4361/5532/9133/91750/595/1869/85417/10000/4605/4775/11200/2305/890/83593/1870/5608",75
"hsa05417","hsa05417","Lipid and atherosclerosis","98/2774","215/8577",2.81600396817085e-05,0.00033892619188342,0.000211729621666981,"6352/7099/3929/8743/3576/2919/3383/3606/4973/3310/3592/7412/335/3553/6347/3569/4688/2920/10451/5452/1543/4773/19/929/7124/7494/817/2921/7097/5293/5533/4790/3303/3725/4312/353376/3304/5606/148022/4217/4314/6300/3305/8797/3309/5908/4772/5600/7184/4067/7132/6714/9451/3306/9641/3949/1535/3665/6774/598/207/5332/836/3654/114609/5578/2081/10010/8517/998/805/5970/30001/7410/7436/5331/142678/23236/4846/4792/572/5594/23643/840/177/91860/355/801/1147/5532/5602/10000/4775/1573/2353/5608/7409/6258",98
"hsa04921","hsa04921","Oxytocin signaling pathway","74/2774","154/8577",3.11529941712651e-05,0.000362019277093667,0.000226156037540944,"114/1956/1827/5021/8605/4773/2977/4638/1026/7226/10398/817/5743/5533/27092/3725/112/4208/785/2983/196883/2770/4772/6714/108/2771/3768/115/6093/3709/775/782/4637/71/60/5598/2982/5997/54776/5332/5604/5578/805/784/5331/23236/4846/51422/113/5594/5501/91860/57118/801/5532/595/4775/4882/3761/4881/2353/5607/5321/59283/59285/5294/93589/5582/783/6262/5579/57172/10368/27091",74
"hsa04022","hsa04022","cGMP-PKG signaling pathway","79/2774","167/8577",3.4304735566098e-05,0.000385356529525834,0.000240734986428758,"154/151/185/486/114/7225/1910/90993/4879/477/134/4773/2977/4638/624/10398/5138/5533/64764/5592/112/5581/4208/493/7408/2983/196883/2770/490/481/4772/108/27345/10488/2771/115/3778/6093/3709/775/4209/207/2982/5997/5332/8654/5604/1909/2768/27094/805/4205/5331/483/23236/4846/113/572/5594/5501/91860/801/9569/5532/152/10000/4775/4882/8660/5140/4881/148/5294/6543/482/153/10335/478/155",79
"hsa04520","hsa04520","Adherens junction","49/2774","93/8577",3.58121854302134e-05,0.000389313112580062,0.000243206692225558,"1956/5787/9411/4233/4008/5880/4088/87/7046/10398/7048/6591/5795/2534/6615/64750/57493/83439/81/7414/6932/5818/5908/10627/6714/6093/1495/71/83605/2260/60/10580/6934/7082/56288/2064/8826/998/2241/57154/3480/4301/5594/117178/51176/8936/93408/54922/55698",49
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","96/2774","212/8577",4.65121654363495e-05,0.000489831242251555,0.000306001088397036,"7099/94235/2792/7133/5880/3106/4773/7124/10053/7097/5293/3107/6890/5533/4790/3725/54331/55970/5606/60489/2770/6300/2791/340061/8905/4772/5600/200315/100913187/7188/9582/7132/3135/2771/3134/3709/6891/8717/2923/3133/115004/3105/598/207/811/3984/200316/5829/6892/5604/25939/836/3654/5578/1073/8517/2790/805/5970/9616/1072/8907/5058/8737/27350/2787/10681/578/4792/572/5594/56924/106821730/91860/995/355/983/801/1147/891/5532/2785/9133/5602/130340/85417/10000/59345/4775/2353/2793/5582/5579/919/5608/7852",96
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","89/2774","194/8577",4.82770795851761e-05,0.000493011388491041,0.000307987748549768,"1437/94235/3576/2919/3383/2792/5155/1827/3569/2920/3106/4773/1026/7538/2921/5293/5743/3107/5533/4790/285/3725/10379/54331/55970/148022/83439/100507436/6300/3459/2791/6932/718/3572/1021/4772/5600/4067/7132/6714/3135/3134/9261/3709/8717/3133/9641/3105/3665/6774/6773/207/3091/81631/84557/6934/5604/836/4277/643246/8517/2790/805/5970/2787/10681/578/4792/5594/91860/355/801/1147/5532/7422/2785/5602/595/1869/10000/59345/4775/51176/2353/2793/5294/57580/1870/5608",89
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","53/2774","104/8577",5.78551558175133e-05,0.00057317130992336,0.000358064226096118,"3592/22808/3553/3569/5580/4773/4046/4791/22800/7124/5971/53342/5293/5743/5533/3659/602/4790/3725/10379/6300/1540/4772/5600/1263/6714/8915/9261/3709/9641/868/6773/207/8517/805/5970/6237/5058/4792/9020/5594/4193/91860/8844/1960/801/1147/5532/5602/10000/4775/1959/64581",53
"hsa05222","hsa05222","Small cell lung cancer","48/2774","92/8577",5.95281775884795e-05,0.00057317130992336,0.000358064226096118,"3675/3910/5915/3918/284217/330/3655/7185/2335/329/1284/3685/1026/3915/1282/3913/5293/3912/5743/4616/4790/10319/3673/3688/1021/7188/3911/598/207/836/1647/8517/5970/578/4792/3908/1147/1164/1163/1027/595/1869/10000/3914/6502/3674/1870/6258",48
"hsa04390","hsa04390","Hippo signaling pathway","74/2774","157/8577",6.97550446789768e-05,0.000652984723800421,0.000407924237888753,"7476/7477/174/81029/5054/7483/7042/1490/330/2246/7475/329/653/4088/122786/7046/7048/6591/7005/656/7855/151449/83439/10297/4092/6932/25937/4771/374/7534/26524/1495/11186/71/7473/23286/8323/60/80326/658/126374/6934/56288/1855/2535/8326/5516/8324/7533/1454/8463/5520/5501/1741/657/154796/595/332/50855/1742/7161/51176/7474/392255/85407/8313/64398/3398/8321/85409/84612/3689/6657/1740",74
"hsa05225","hsa05225","Hepatocellular carcinoma","78/2774","168/8577",8.49054059310026e-05,0.000773327616182375,0.00048310330543956,"7476/7477/2938/81029/3082/1956/4233/7483/7042/7475/3162/1026/4088/7039/3481/7046/7048/1728/5293/4616/7855/25759/83439/10297/6932/114112/1021/4257/399694/6464/71/7473/8323/60/80326/598/207/7296/6934/5604/5578/1855/2535/8326/1647/4258/6655/8324/9446/3480/578/572/5594/8289/55193/23401/196528/2947/4040/595/1869/10000/2941/51176/7474/53358/8313/2944/2949/8321/6599/8110/2946/1870/5582/2948/7015/5579",78
"hsa04611","hsa04611","Platelet activation","60/2774","124/8577",0.000133122787111207,0.00118058892780202,0.000737522366267073,"54518/9002/114/3690/1277/1281/7450/5742/1278/8605/2977/4638/5739/5293/2534/2149/6916/5592/112/7408/2983/3673/196883/2770/6300/83660/6915/3688/5908/10627/5600/4067/6714/108/2771/115/6093/3709/71/60/7094/207/2982/5332/6786/5331/23236/4846/83706/113/5594/5501/8773/2812/10000/5023/3674/5321/5294/5028",60
"hsa04210","hsa04210","Apoptosis","64/2774","136/8577",0.00022242524994278,0.0019219822879671,0.00120067611305144,"100506742/8743/4803/330/5414/7185/1514/1522/329/1520/7124/5293/4000/1519/4616/824/4790/3725/823/4217/1508/113457/10039/8797/51807/8722/7132/5366/9451/3709/8717/71/8837/60/598/207/1509/5604/836/2081/1647/8517/5970/8737/578/4792/572/9020/5594/1677/840/55367/355/1147/142/5602/332/10000/4001/10038/2353/1515/4914/5783",64
"hsa05145","hsa05145","Toxoplasmosis","54/2774","111/8577",0.000237999535563518,0.00200514608712264,0.00125262913454483,"7099/3910/3310/3592/7042/3918/284217/330/3655/8651/329/7124/3915/3913/7097/3912/4790/3303/10319/3304/5606/2770/6300/3459/3688/3305/5600/7132/3911/2771/3949/6774/598/207/836/3654/8517/5970/3588/3460/4792/572/5594/23643/3908/1147/5602/10000/3914/3113/5294/3115/3109/5608",54
"hsa04270","hsa04270","Vascular smooth muscle contraction","63/2774","134/8577",0.000256387480355292,0.00210738002145691,0.00131649540618892,"94274/185/114/1906/4879/1907/183/133/800/5580/8605/2977/136/4638/10398/5739/4627/5592/112/5581/2983/196883/10203/5583/59/108/27345/115/4629/3778/6093/3709/775/4637/2982/54776/5332/5604/5578/1909/2768/27094/805/79924/5331/23236/113/5594/5501/91860/4628/801/797/4882/10266/4881/5321/8398/148/5582/10335/5579/50487",63
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","48/2774","97/8577",0.000314050915035111,0.00251988472301982,0.00157419005030131,"8877/5880/10451/2934/5580/8605/5337/10095/8613/4082/5293/5581/7408/8611/5338/3636/4067/27040/9846/10109/207/55616/274/273/3984/5604/10096/23396/5578/1073/998/7410/1072/5058/382/5594/56848/3635/65108/4651/10000/8936/5321/5788/8398/5582/5579/7409",48
"hsa04024","hsa04024","cAMP signaling pathway","97/2774","225/8577",0.00039310372521386,0.0030808361720249,0.00192462044168352,"154/486/114/1906/90993/56670/627/1907/477/3352/134/5732/64208/5021/5880/10451/11149/5465/1081/5337/22800/6662/10398/817/5143/5293/2149/3972/4790/64091/64764/3725/112/493/196883/2770/1128/2696/610/5338/10411/490/481/5908/4772/108/10488/2771/115/6093/775/207/5604/1909/805/5970/6237/51/7410/483/5058/116444/4301/113/4792/572/5594/5501/91860/801/5602/3991/10000/27198/3355/5140/4881/2353/4852/5727/7074/5733/482/153/5141/6262/478/84152/4886/2903/7137/7409/8843/338442/2735/1129/2695",97
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","70/2774","154/8577",0.000415708374006301,0.00318394822818462,0.0019890352823268,"154/185/486/114/90993/70/7168/183/477/64208/11149/5523/6324/817/27092/64091/64764/112/493/785/7171/196883/2770/6300/10411/7169/490/481/5600/108/10488/2771/5526/115/775/782/207/5332/5578/5516/805/784/5331/5525/483/23236/113/5594/5520/5501/91860/801/1390/10000/148/59283/59285/5294/6543/482/153/93589/783/6330/6262/478/10368/7137/27091/5502",70
